SAMPLE_ID,PAR_NAME,INDEX,PAR_VALUE
45,vac_dist,0,0.355969
45,vac_dist,1,0.304629
45,vac_dist,2,0.058992
45,vac_dist,3,0.280411
45,vac_efficacy,0,0.900000
45,vac_t_year_offset,0,0.000000
45,vac_t_year_length,0,48.000000
45,n_age_vac,0,10.000000
45,vac_t_freq,0,1.000000
45,reg_import_scale,0,1.000000
45,vac_identifiable,0,0.000000
45,vac_prop,0,0.355969
45,vac_prop,1,0.304629
45,vac_prop,2,0.0589915
45,vac_prop,3,0.280411
46,vac_rate,0,18494.700000
46,vac_protect_duration,0,96.000000
46,vac_dist,0,0.848599
46,vac_dist,1,0.002133
46,vac_dist,2,0.025784
46,vac_dist,3,0.123484
46,vac_efficacy,0,0.900000
46,vac_t_year_offset,0,0.000000
46,vac_t_year_length,0,48.000000
46,n_age_vac,0,10.000000
46,vac_t_freq,0,1.000000
46,reg_import_scale,0,1.000000
46,vac_identifiable,0,0.000000
46,vac_prop,0,0.848599
46,vac_prop,1,0.00213325
46,vac_prop,2,0.0257836
46,vac_prop,3,0.123484
47,vac_rate,0,18494.700000
47,vac_protect_duration,0,96.000000
47,vac_dist,0,0.773400
47,vac_dist,1,0.018207
47,vac_dist,2,0.073399
47,vac_dist,3,0.134994
47,vac_efficacy,0,0.900000
47,vac_t_year_offset,0,0.000000
47,vac_t_year_length,0,48.000000
47,n_age_vac,0,10.000000
47,vac_t_freq,0,1.000000
47,reg_import_scale,0,1.000000
47,vac_identifiable,0,0.000000
47,vac_prop,0,0.7734
47,vac_prop,1,0.0182069
47,vac_prop,2,0.0733994
47,vac_prop,3,0.134994
48,vac_rate,0,18494.700000
48,vac_protect_duration,0,96.000000
48,vac_dist,0,0.166654
48,vac_dist,1,0.203811
48,vac_dist,2,0.118697
48,vac_dist,3,0.510838
48,vac_efficacy,0,0.900000
48,vac_t_year_offset,0,0.000000
48,vac_t_year_length,0,48.000000
48,n_age_vac,0,10.000000
48,vac_t_freq,0,1.000000
48,reg_import_scale,0,1.000000
48,vac_identifiable,0,0.000000
48,vac_prop,0,0.166654
48,vac_prop,1,0.203811
48,vac_prop,2,0.118697
48,vac_prop,3,0.510838
49,vac_rate,0,18494.700000
49,vac_protect_duration,0,96.000000
49,vac_dist,0,0.806455
49,vac_dist,1,0.078062
49,vac_dist,2,0.089814
49,vac_dist,3,0.025669
49,vac_efficacy,0,0.900000
49,vac_t_year_offset,0,0.000000
49,vac_t_year_length,0,48.000000
49,n_age_vac,0,10.000000
49,vac_t_freq,0,1.000000
49,reg_import_scale,0,1.000000
49,vac_identifiable,0,0.000000
49,vac_prop,0,0.806455
49,vac_prop,1,0.0780618
49,vac_prop,2,0.0898142
49,vac_prop,3,0.0256692
50,vac_rate,0,18494.700000
50,vac_protect_duration,0,96.000000
